Lookalike
"Map<C0001, List<C0001, 10000000000.00, C0106, 1.41, C0135, 1.37>>"
"Map<C0002, List<C0002, 10000000000.00, C0029, 1.72, C0166, 1.55>>"
"Map<C0003, List<C0003, 10000000000.00, C0052, 2.48, C0056, 1.60>>"
"Map<C0004, List<C0004, 10000000000.00, C0173, 2.91, C0108, 1.63>>"
"Map<C0005, List<C0005, 10000000000.00, C0073, 25.23, C0159, 17.38>>"
"Map<C0006, List<C0006, 10000000000.00, C0050, 1.02, C0016, 0.78>>"
"Map<C0007, List<C0007, 10000000000.00, C0074, 1.30, C0135, 1.17>>"
"Map<C0008, List<C0008, 10000000000.00, C0024, 0.67, C0047, 0.60>>"
"Map<C0009, List<C0009, 10000000000.00, C0094, 1.79, C0077, 1.72>>"
"Map<C0010, List<C0010, 10000000000.00, C0199, 3.22, C0062, 1.49>>"
"Map<C0011, List<C0011, 10000000000.00, C0125, 1.62, C0174, 1.12>>"
"Map<C0012, List<C0012, 10000000000.00, C0046, 1.52, C0057, 1.51>>"
"Map<C0013, List<C0013, 10000000000.00, C0143, 27.90, C0087, 1.76>>"
"Map<C0014, List<C0014, 10000000000.00, C0033, 1.02, C0032, 0.86>>"
"Map<C0015, List<C0015, 10000000000.00, C0123, 1.89, C0186, 1.58>>"
"Map<C0016, List<C0016, 10000000000.00, C0183, 41.13, C0126, 1.51>>"
"Map<C0017, List<C0017, 10000000000.00, C0090, 1.24, C0101, 0.95>>"
"Map<C0018, List<C0018, 10000000000.00, C0187, 2.99, C0117, 1.15>>"
"Map<C0019, List<C0019, 10000000000.00, C0091, 0.98, C0088, 0.79>>"
"Map<C0020, List<C0020, 10000000000.00, C0110, 1.15, C0080, 0.83>>"
